replicate,C0-R@42,C0-R@1337,C0-R@20260703,C1-M@42,C1-M@1337,C1-M@20260703,C4-M@42,C4-M@1337,C4-M@20260703,C4MixFT-M@42,C4MixFT-M@1337,C4Mix-M@42,C4Mix-M@1337,C4R-M@42,C4R-M@1337
518,0.397063,0.386638,0.392318,0.401956,0.402919,0.375525,0.395693,0.354504,0.397187,0.378431,0.393285,0.374971,0.378331,0.390347,0.365387
519,0.399642,0.403334,0.411889,0.416076,0.410942,0.391270,0.406533,0.387771,0.405468,0.406948,0.401008,0.400501,0.398750,0.408382,0.388531
520,0.378790,0.368180,0.386201,0.376482,0.395083,0.364321,0.375866,0.358437,0.377010,0.381217,0.370523,0.358665,0.374919,0.381916,0.363795
521,0.408470,0.403216,0.392684,0.406847,0.403277,0.389510,0.402769,0.382093,0.405018,0.394954,0.397973,0.376668,0.404015,0.414133,0.385908
522,0.399144,0.408578,0.400968,0.400474,0.403146,0.385566,0.403339,0.380538,0.401024,0.396053,0.394191,0.387123,0.409833,0.408136,0.387680
523,0.438359,0.422670,0.435986,0.422434,0.431762,0.410377,0.421971,0.410481,0.416114,0.415039,0.440418,0.417601,0.426890,0.440354,0.399672
528,0.399819,0.403130,0.401005,0.419985,0.410161,0.400548,0.414980,0.385978,0.413030,0.392338,0.401609,0.392959,0.405706,0.408766,0.386610
529,0.409594,0.407149,0.420389,0.428156,0.420292,0.401823,0.417119,0.399543,0.407898,0.405697,0.419602,0.396727,0.406662,0.417194,0.395906
530,0.397348,0.389347,0.400399,0.402178,0.397024,0.380713,0.402231,0.371772,0.394679,0.397291,0.392840,0.369345,0.409194,0.404468,0.368937
531,0.390286,0.398787,0.411994,0.418193,0.418090,0.402418,0.396664,0.392632,0.412069,0.400282,0.396429,0.395983,0.407422,0.418433,0.371717
524,0.380825,0.378401,0.388333,0.386356,0.397036,0.381799,0.381580,0.368029,0.390675,0.388485,0.378638,0.371885,0.393649,0.390241,0.363759
525,0.401984,0.398352,0.392493,0.401296,0.408321,0.384603,0.390004,0.369206,0.406634,0.393161,0.395478,0.389039,0.399108,0.400222,0.377727
526,0.400292,0.393739,0.402122,0.415066,0.408867,0.397337,0.408264,0.386009,0.403885,0.398420,0.411269,0.390755,0.404495,0.415894,0.383128
527,0.419238,0.408605,0.406880,0.434659,0.414053,0.410149,0.413519,0.384376,0.420518,0.405438,0.410255,0.399865,0.414716,0.423266,0.388373
532,0.402945,0.408867,0.409350,0.415719,0.416431,0.397272,0.410121,0.381485,0.395498,0.403296,0.405707,0.393458,0.401075,0.410914,0.387976
533,0.405497,0.417064,0.409458,0.411753,0.429249,0.405112,0.420611,0.388942,0.416715,0.404096,0.413775,0.398939,0.413794,0.418792,0.402464
534,0.409438,0.406694,0.405566,0.421482,0.415272,0.409244,0.407165,0.388893,0.408754,0.397309,0.403097,0.381676,0.404787,0.414657,0.378046
535,0.400850,0.388504,0.390722,0.400373,0.400297,0.380510,0.403961,0.372569,0.388700,0.396247,0.402111,0.393017,0.402371,0.402389,0.383019
540,0.403672,0.407219,0.402557,0.395846,0.411324,0.396040,0.397783,0.369847,0.400797,0.410510,0.404260,0.385942,0.399270,0.416752,0.381012
541,0.398590,0.390924,0.390970,0.400753,0.411272,0.387675,0.393786,0.377422,0.402943,0.393033,0.394531,0.386348,0.394403,0.416998,0.383529
542,0.416330,0.430294,0.422983,0.424685,0.422581,0.420559,0.419111,0.396028,0.421346,0.409362,0.421559,0.394154,0.415531,0.421229,0.402162
543,0.393961,0.394129,0.399647,0.408320,0.395632,0.387731,0.391969,0.368921,0.395708,0.384743,0.398914,0.376379,0.389853,0.401884,0.351486
536,0.391741,0.397464,0.392064,0.395561,0.402886,0.377787,0.389559,0.374118,0.391571,0.384025,0.393955,0.376181,0.396346,0.406029,0.386009
537,0.413362,0.405072,0.420505,0.429911,0.417155,0.402352,0.416062,0.386242,0.405099,0.409883,0.413591,0.387665,0.416361,0.424834,0.393041
538,0.394799,0.404107,0.390702,0.404946,0.407881,0.392526,0.397061,0.381891,0.388668,0.389147,0.397040,0.380734,0.399442,0.400807,0.380947
539,0.380977,0.377392,0.386103,0.384758,0.384199,0.360746,0.391463,0.363315,0.369134,0.369921,0.376633,0.368355,0.376417,0.389857,0.360610
548,0.442594,0.417342,0.435319,0.434375,0.452417,0.423962,0.444332,0.425427,0.412183,0.428282,0.443900,0.424030,0.435254,0.443615,0.425737
549,0.417287,0.404929,0.414909,0.415760,0.422917,0.409647,0.412870,0.382928,0.413153,0.413899,0.418783,0.396416,0.413767,0.418782,0.396026
550,0.396339,0.377529,0.395019,0.394176,0.400435,0.376872,0.394009,0.369054,0.393086,0.393886,0.396044,0.373810,0.393103,0.399780,0.372146
551,0.393832,0.389736,0.397034,0.389691,0.404356,0.376406,0.383139,0.378639,0.397614,0.384383,0.398640,0.375440,0.398006,0.407176,0.370494
544,0.406628,0.402957,0.410762,0.421795,0.413368,0.403390,0.417265,0.388502,0.412049,0.404281,0.402805,0.395782,0.406532,0.406929,0.400113
545,0.432482,0.431917,0.425501,0.443742,0.439563,0.412852,0.424234,0.399166,0.423854,0.423640,0.424130,0.407572,0.426379,0.443191,0.404097
546,0.408822,0.420319,0.412781,0.429846,0.427989,0.401633,0.421492,0.394911,0.410318,0.408162,0.413269,0.397333,0.417655,0.419326,0.411971
547,0.410983,0.413126,0.410864,0.421194,0.417571,0.404789,0.408992,0.389204,0.414210,0.414546,0.413220,0.400553,0.417380,0.420872,0.397615
552,0.414057,0.416204,0.414738,0.423894,0.416889,0.396324,0.417209,0.394254,0.402213,0.396862,0.413507,0.397328,0.403231,0.416468,0.398529
553,0.428098,0.434172,0.434047,0.434829,0.437195,0.428216,0.424052,0.414815,0.430434,0.420364,0.438045,0.411687,0.438003,0.442623,0.417112
554,0.413035,0.395623,0.425321,0.405004,0.412501,0.400298,0.409608,0.390094,0.401824,0.408163,0.416208,0.396257,0.419587,0.421389,0.396215
555,0.425463,0.419235,0.419316,0.417381,0.425507,0.404160,0.415191,0.392062,0.424461,0.423892,0.425720,0.404456,0.424011,0.424274,0.397863
556,0.409423,0.401039,0.412903,0.417603,0.419669,0.395197,0.415745,0.382333,0.410570,0.409548,0.407642,0.394441,0.413021,0.415147,0.388367
557,0.410356,0.407670,0.406403,0.414745,0.414761,0.395678,0.412038,0.381140,0.415078,0.409742,0.413799,0.391955,0.411009,0.422942,0.391771
558,0.399499,0.387074,0.387125,0.402138,0.402996,0.379989,0.390260,0.376491,0.399641,0.381804,0.387499,0.372906,0.392933,0.399880,0.370340
559,0.396285,0.390781,0.395785,0.395775,0.407595,0.383249,0.399665,0.372865,0.395180,0.396955,0.402696,0.375010,0.396960,0.415618,0.371342
560,0.390849,0.389133,0.400171,0.393236,0.416509,0.376738,0.407822,0.378608,0.398075,0.391760,0.396010,0.383788,0.394282,0.397768,0.374883
561,0.402833,0.422457,0.415402,0.416086,0.423891,0.407839,0.411228,0.386468,0.412420,0.411372,0.407730,0.389605,0.406114,0.412810,0.393655
562,0.401051,0.387534,0.403771,0.404243,0.405554,0.394734,0.398908,0.378914,0.400462,0.408116,0.400402,0.381232,0.400674,0.407381,0.372115
563,0.408524,0.405697,0.417282,0.401594,0.426264,0.389187,0.408672,0.375534,0.405880,0.407723,0.418756,0.388461,0.417091,0.420725,0.393801
564,0.415350,0.406017,0.406128,0.415935,0.416806,0.394989,0.414583,0.397805,0.409812,0.402949,0.407429,0.389151,0.412181,0.408639,0.383311
565,0.398594,0.403568,0.403939,0.406420,0.402603,0.390300,0.399115,0.378415,0.406857,0.394964,0.400335,0.390105,0.400408,0.401616,0.382776
566,0.408141,0.401500,0.410273,0.404320,0.415122,0.395945,0.405730,0.387495,0.396224,0.405321,0.417608,0.398653,0.405037,0.423208,0.384989
567,0.434102,0.411810,0.429428,0.428682,0.433378,0.416644,0.425578,0.391937,0.425219,0.418125,0.427844,0.401234,0.423669,0.436117,0.412102
568,0.413125,0.407131,0.405385,0.415163,0.417777,0.395807,0.419894,0.380476,0.409959,0.403341,0.401011,0.399014,0.400199,0.412172,0.396951
569,0.413310,0.420993,0.429761,0.434388,0.435998,0.420175,0.422990,0.404375,0.421133,0.415465,0.422789,0.404526,0.409976,0.427804,0.401894
570,0.402423,0.401921,0.403648,0.406340,0.408286,0.403202,0.393789,0.387899,0.400923,0.402332,0.399793,0.390455,0.401251,0.410107,0.380096
571,0.395910,0.380207,0.387360,0.400540,0.389325,0.370173,0.395575,0.367817,0.394046,0.384353,0.394254,0.380143,0.385786,0.390943,0.378209
572,0.378956,0.384128,0.390509,0.400003,0.400063,0.385511,0.386189,0.377836,0.391899,0.389974,0.391295,0.369967,0.400606,0.393154,0.376666
573,0.392411,0.389041,0.396783,0.397280,0.406871,0.375450,0.389132,0.378871,0.395703,0.391918,0.408125,0.376511,0.392922,0.399871,0.363866
574,0.417027,0.415273,0.409052,0.420896,0.415926,0.390541,0.412751,0.394781,0.417581,0.411364,0.412251,0.408580,0.401583,0.413716,0.383274
575,0.402349,0.405866,0.422501,0.421702,0.425628,0.392696,0.415340,0.395190,0.412951,0.404279,0.419001,0.401762,0.421142,0.421246,0.379273
580,0.401593,0.402411,0.412909,0.419788,0.426800,0.408068,0.409664,0.394091,0.412831,0.412032,0.409826,0.399903,0.420525,0.412320,0.390624
581,0.422656,0.413963,0.419101,0.431601,0.424259,0.423074,0.417958,0.386976,0.425063,0.418957,0.428990,0.403168,0.421259,0.424855,0.419351
582,0.408554,0.409231,0.399801,0.420633,0.412243,0.394592,0.414084,0.378305,0.409296,0.399294,0.409814,0.390861,0.409270,0.416048,0.393872
583,0.396251,0.389049,0.384696,0.392449,0.395241,0.389236,0.382179,0.373552,0.389522,0.391547,0.401850,0.375860,0.399702,0.403718,0.368865
576,0.401693,0.410058,0.398545,0.411973,0.409211,0.386103,0.410948,0.373502,0.393837,0.388501,0.417422,0.378695,0.409276,0.408922,0.396149
577,0.423401,0.411740,0.415352,0.422708,0.422353,0.417769,0.401208,0.396460,0.415404,0.407715,0.420521,0.387180,0.424377,0.425925,0.401620
578,0.424732,0.391619,0.408587,0.396670,0.419070,0.399602,0.401574,0.379353,0.395566,0.411967,0.411334,0.388227,0.405324,0.415702,0.377458
579,0.410011,0.418744,0.414590,0.409336,0.430163,0.410737,0.402973,0.401534,0.416217,0.410923,0.423697,0.403230,0.410819,0.421095,0.389504
584,0.378358,0.376045,0.390366,0.390334,0.405672,0.365159,0.385167,0.370638,0.382607,0.374062,0.384485,0.364768,0.383507,0.391364,0.373771
585,0.419248,0.423834,0.428868,0.446250,0.435514,0.416311,0.438231,0.413128,0.429223,0.424215,0.430785,0.412499,0.420962,0.431607,0.402684
586,0.388528,0.389728,0.384806,0.398235,0.388155,0.375056,0.395428,0.354397,0.389315,0.380941,0.388290,0.371253,0.393125,0.396545,0.376322
587,0.408551,0.409413,0.405438,0.417618,0.419021,0.398547,0.412673,0.390172,0.405481,0.410496,0.415229,0.400551,0.407716,0.420475,0.402002
588,0.437919,0.432345,0.427784,0.432428,0.435125,0.421226,0.429822,0.408098,0.426608,0.413627,0.429796,0.414857,0.429290,0.435417,0.406481
589,0.400304,0.409222,0.410824,0.417375,0.413627,0.402251,0.412289,0.389833,0.404539,0.399879,0.403617,0.390197,0.401348,0.414340,0.386738
590,0.419640,0.404883,0.430490,0.425233,0.434410,0.414182,0.420922,0.411728,0.418542,0.423168,0.424269,0.392767,0.431311,0.428736,0.403484
591,0.405893,0.383700,0.406362,0.396293,0.414559,0.384305,0.389398,0.371152,0.388259,0.394324,0.400813,0.380241,0.408593,0.407824,0.389681
592,0.426204,0.439813,0.422589,0.432692,0.438611,0.416521,0.432331,0.398547,0.430325,0.421329,0.412715,0.414249,0.421858,0.425690,0.400715
593,0.397357,0.404509,0.402953,0.411881,0.411133,0.393909,0.413919,0.379450,0.396498,0.400915,0.412965,0.390031,0.410029,0.409102,0.378176
594,0.386617,0.370613,0.388118,0.390518,0.400299,0.383063,0.385896,0.362066,0.388711,0.384584,0.386935,0.370608,0.383750,0.394766,0.378447
595,0.425599,0.427210,0.414761,0.428671,0.420784,0.414420,0.427469,0.389451,0.426043,0.416220,0.416209,0.410126,0.419871,0.434135,0.405160
596,0.392160,0.397764,0.395237,0.403152,0.391096,0.405290,0.396058,0.367468,0.398464,0.387696,0.394207,0.372720,0.390701,0.400014,0.388751
597,0.387172,0.385472,0.394497,0.409215,0.402993,0.395035,0.385468,0.372379,0.402551,0.391306,0.397210,0.383954,0.398090,0.404265,0.366392
598,0.416896,0.425611,0.432988,0.435889,0.433510,0.422653,0.428467,0.405661,0.422345,0.425535,0.430084,0.411633,0.434692,0.429401,0.405545
599,0.400145,0.381095,0.399330,0.389262,0.413462,0.371482,0.390837,0.380610,0.392056,0.394271,0.419026,0.388669,0.394612,0.405327,0.379960
604,0.406617,0.398573,0.408192,0.402852,0.403591,0.390072,0.397870,0.382284,0.403674,0.392690,0.408405,0.385026,0.405246,0.409405,0.374207
605,0.380972,0.384904,0.377673,0.390044,0.381205,0.359784,0.389110,0.355015,0.383116,0.367187,0.377824,0.361111,0.373774,0.384756,0.359910
606,0.400405,0.398034,0.387894,0.404750,0.403821,0.375457,0.397569,0.376001,0.399200,0.395075,0.406046,0.374359,0.399617,0.399207,0.379127
607,0.407314,0.394199,0.406740,0.411808,0.413622,0.387487,0.412905,0.389068,0.390016,0.407118,0.408292,0.383000,0.408690,0.421656,0.385998
600,0.396203,0.405235,0.403868,0.408039,0.408011,0.385238,0.412957,0.379308,0.400969,0.393260,0.401128,0.387016,0.391697,0.405696,0.382125
601,0.412609,0.408204,0.421097,0.425238,0.422116,0.408474,0.413388,0.393501,0.414726,0.413271,0.405002,0.386488,0.416678,0.426345,0.387378
602,0.421004,0.410429,0.426049,0.428658,0.427708,0.412297,0.425957,0.398435,0.414414,0.412128,0.416833,0.397899,0.412251,0.419492,0.396030
603,0.406124,0.423727,0.424550,0.420890,0.426680,0.406597,0.413150,0.405018,0.412583,0.414229,0.420341,0.400925,0.406269,0.424926,0.396581
608,0.401645,0.391909,0.392705,0.402714,0.406049,0.386981,0.402300,0.371864,0.398457,0.399565,0.392139,0.384711,0.399861,0.407559,0.371020
609,0.386893,0.391055,0.379002,0.396255,0.389391,0.390123,0.395196,0.357259,0.393985,0.382321,0.393388,0.377284,0.396150,0.393229,0.382051
610,0.409600,0.413173,0.399084,0.418841,0.428210,0.397986,0.420315,0.389749,0.412199,0.419951,0.410947,0.404932,0.420965,0.422693,0.398979
611,0.420235,0.406752,0.417075,0.419560,0.425506,0.404292,0.423753,0.397039,0.405331,0.410773,0.422546,0.405256,0.421527,0.427397,0.397581
612,0.403466,0.402320,0.409941,0.406885,0.417921,0.393789,0.397066,0.388145,0.400725,0.396173,0.413308,0.380413,0.408249,0.411809,0.380185
613,0.400546,0.386860,0.405196,0.398995,0.411393,0.388328,0.403591,0.371643,0.403500,0.399411,0.399335,0.383067,0.398458,0.412229,0.373770
614,0.394050,0.404112,0.397900,0.409412,0.401400,0.392515,0.405888,0.378816,0.405140,0.395233,0.399178,0.385839,0.390966,0.398277,0.382659
615,0.407158,0.413328,0.408658,0.423604,0.416027,0.403125,0.416176,0.384271,0.404417,0.407582,0.405507,0.388702,0.403666,0.407263,0.385926
628,0.431498,0.443004,0.430800,0.446707,0.438298,0.423216,0.439679,0.412176,0.436805,0.425142,0.432156,0.409800,0.436277,0.442747,0.408074
629,0.402492,0.385187,0.407750,0.408235,0.417211,0.398670,0.396819,0.391627,0.403992,0.405684,0.404969,0.386696,0.404398,0.421251,0.386220
630,0.392882,0.395912,0.383255,0.406419,0.400762,0.386215,0.382876,0.363263,0.400461,0.390574,0.388865,0.377010,0.408006,0.403149,0.363587
631,0.395543,0.405084,0.394702,0.401895,0.404794,0.389633,0.395792,0.380048,0.405583,0.392094,0.394510,0.385259,0.400070,0.394367,0.382110
620,0.422204,0.437048,0.422333,0.423263,0.424217,0.391639,0.415821,0.394516,0.427538,0.418007,0.410756,0.406248,0.417492,0.428040,0.400896
621,0.390915,0.381906,0.379704,0.386244,0.390943,0.369108,0.382042,0.353986,0.371154,0.370497,0.368619,0.376147,0.377941,0.389410,0.363095
622,0.404918,0.401141,0.405556,0.411208,0.412883,0.400064,0.407508,0.376858,0.401826,0.401781,0.412231,0.390623,0.402173,0.411339,0.394493
623,0.419160,0.417528,0.428229,0.425181,0.427789,0.406128,0.428875,0.408919,0.426527,0.414438,0.433900,0.399812,0.429064,0.432378,0.409207
616,0.419012,0.411567,0.415528,0.413488,0.417617,0.406421,0.407831,0.382747,0.409317,0.411469,0.424416,0.394947,0.406959,0.412222,0.398062
617,0.384275,0.378547,0.389134,0.386752,0.397233,0.365657,0.376322,0.355518,0.382866,0.376078,0.389204,0.365557,0.391922,0.386609,0.357236
618,0.421693,0.417203,0.426335,0.435419,0.428156,0.406396,0.437117,0.409735,0.421717,0.423340,0.442780,0.422627,0.418287,0.442312,0.401926
619,0.423115,0.425137,0.432051,0.424028,0.422146,0.400334,0.426734,0.402157,0.424028,0.412490,0.430046,0.409704,0.429727,0.431558,0.403354
624,0.415489,0.411534,0.416617,0.437844,0.428796,0.399561,0.432658,0.396029,0.427158,0.415234,0.422688,0.413584,0.419903,0.427700,0.402474
625,0.393907,0.396754,0.401892,0.395195,0.400250,0.392166,0.400258,0.375584,0.395311,0.388361,0.403532,0.374048,0.402788,0.393866,0.380119
626,0.398087,0.386215,0.402893,0.405893,0.415605,0.393556,0.402428,0.380996,0.397466,0.407057,0.390091,0.374688,0.410007,0.424314,0.383806
627,0.393525,0.385507,0.396646,0.402670,0.394576,0.387907,0.394837,0.369484,0.395508,0.391327,0.393682,0.374084,0.401002,0.403367,0.365906
632,0.403874,0.390070,0.401239,0.409481,0.398360,0.375408,0.404567,0.360958,0.395995,0.390653,0.398571,0.380633,0.392404,0.397407,0.377808
633,0.397655,0.404126,0.394844,0.398459,0.396027,0.391728,0.393988,0.369813,0.399743,0.390537,0.397906,0.381270,0.385100,0.401897,0.378096
634,0.382569,0.390344,0.393418,0.402504,0.394918,0.389499,0.398598,0.375360,0.401396,0.387892,0.393002,0.378386,0.392403,0.405139,0.379359
635,0.377280,0.372859,0.383642,0.392185,0.391172,0.369592,0.384902,0.362667,0.383143,0.379020,0.380547,0.366831,0.371114,0.391722,0.369342
636,0.426477,0.429883,0.430368,0.434895,0.429500,0.418775,0.429744,0.404593,0.433033,0.420509,0.423840,0.414106,0.428418,0.419844,0.403405
637,0.397377,0.386425,0.401346,0.397144,0.407670,0.384658,0.402006,0.376481,0.396347,0.400928,0.405738,0.381405,0.399963,0.410540,0.388388
638,0.390617,0.398600,0.395769,0.404884,0.403465,0.395049,0.389571,0.373279,0.400543,0.394449,0.389019,0.376959,0.395503,0.400341,0.386570
639,0.408497,0.421764,0.410695,0.425551,0.424844,0.415268,0.420460,0.408744,0.416215,0.418882,0.419558,0.396037,0.423363,0.427473,0.411954
644,0.394655,0.405472,0.397557,0.409905,0.413412,0.391547,0.403821,0.386941,0.409345,0.396383,0.404179,0.393262,0.405669,0.409652,0.380794
645,0.406309,0.409527,0.398015,0.416545,0.408982,0.400046,0.406604,0.371654,0.402689,0.394882,0.397155,0.380884,0.401672,0.415859,0.395376
646,0.412043,0.398947,0.424821,0.412537,0.409260,0.390244,0.402250,0.383100,0.408382,0.405306,0.401523,0.382214,0.411228,0.420252,0.375649
647,0.392752,0.392508,0.371252,0.393752,0.385983,0.380609,0.394287,0.356192,0.389398,0.381212,0.384958,0.372066,0.386337,0.392112,0.369177
640,0.386388,0.384638,0.392392,0.398288,0.394820,0.381718,0.398497,0.380364,0.383215,0.380297,0.392700,0.370890,0.387321,0.395391,0.368876
641,0.440267,0.425692,0.426271,0.442715,0.439793,0.424928,0.445280,0.404417,0.427089,0.428445,0.438768,0.405118,0.436448,0.442025,0.423825
642,0.397501,0.384385,0.389989,0.395534,0.403832,0.378051,0.393314,0.379982,0.392624,0.390613,0.396207,0.375594,0.399162,0.405022,0.373963
643,0.418166,0.413407,0.426270,0.429475,0.433998,0.409460,0.413996,0.408146,0.417721,0.411444,0.422072,0.402565,0.413176,0.432253,0.390462
648,0.404341,0.414725,0.402267,0.408601,0.407336,0.392992,0.402361,0.380699,0.407482,0.384582,0.392181,0.393156,0.409203,0.417729,0.380132
649,0.414413,0.404656,0.415615,0.413629,0.419207,0.397550,0.416289,0.391678,0.411378,0.405080,0.423098,0.390377,0.418314,0.411884,0.395560
650,0.413089,0.400940,0.406947,0.406289,0.416766,0.384889,0.405114,0.391386,0.402587,0.397475,0.412496,0.386886,0.406224,0.410976,0.379842
651,0.413968,0.406460,0.409056,0.408883,0.412910,0.403422,0.396844,0.381342,0.409410,0.403706,0.397496,0.393539,0.400441,0.409766,0.383763
652,0.405893,0.411261,0.403257,0.420870,0.408471,0.397970,0.416636,0.385336,0.409606,0.394609,0.420131,0.403359,0.406037,0.415768,0.390072
653,0.426223,0.417506,0.422353,0.421318,0.432565,0.417765,0.415630,0.407787,0.424491,0.420294,0.428810,0.416185,0.428910,0.427398,0.406665
654,0.425176,0.430428,0.426577,0.435966,0.433437,0.429848,0.438066,0.403250,0.430171,0.424391,0.422939,0.418693,0.438195,0.436604,0.403732
655,0.410160,0.415957,0.406805,0.438135,0.412369,0.409517,0.429200,0.390205,0.413024,0.412686,0.414676,0.402859,0.413510,0.422466,0.405874
656,0.411975,0.416844,0.419631,0.429997,0.427127,0.397536,0.421734,0.394370,0.419572,0.415625,0.423303,0.402789,0.419971,0.419963,0.409587
657,0.403710,0.394663,0.403531,0.404948,0.409405,0.404816,0.400691,0.388811,0.396623,0.403564,0.404147,0.382455,0.407741,0.414632,0.381707
658,0.419431,0.419182,0.434342,0.433435,0.440939,0.412755,0.419786,0.406588,0.420074,0.410747,0.431476,0.410086,0.424017,0.423698,0.402921
659,0.396423,0.392422,0.394997,0.393703,0.386943,0.386911,0.391724,0.367607,0.380499,0.381744,0.390425,0.378315,0.389609,0.389051,0.374227
660,0.388867,0.381060,0.392481,0.395965,0.408973,0.385550,0.401817,0.360888,0.391786,0.384836,0.401025,0.379205,0.400488,0.405539,0.383718
661,0.384496,0.376596,0.397803,0.397640,0.406761,0.381483,0.401002,0.376179,0.385541,0.380564,0.401063,0.367383,0.399268,0.403782,0.375225
662,0.417523,0.428340,0.410976,0.421432,0.420375,0.407257,0.406082,0.385825,0.413008,0.406467,0.409206,0.392658,0.414651,0.417064,0.383454
663,0.400736,0.400580,0.393213,0.401150,0.400034,0.378492,0.394741,0.378266,0.398250,0.389947,0.412564,0.377041,0.393626,0.411365,0.378920
664,0.395616,0.383202,0.389624,0.404490,0.395686,0.370518,0.400770,0.369527,0.382123,0.386867,0.392841,0.377429,0.389640,0.392948,0.372281
665,0.419197,0.414090,0.417056,0.423823,0.418171,0.406649,0.413428,0.392475,0.414195,0.418717,0.410561,0.394474,0.412738,0.432582,0.399864
666,0.403027,0.404119,0.389599,0.403148,0.399530,0.387915,0.409766,0.377998,0.398903,0.395434,0.397131,0.384043,0.395620,0.401230,0.376645
667,0.416598,0.415503,0.412160,0.408003,0.420383,0.402926,0.410865,0.385488,0.402811,0.401423,0.412921,0.394828,0.414286,0.409931,0.395973
668,0.387679,0.389771,0.392852,0.392461,0.409982,0.381851,0.393352,0.375748,0.390976,0.386944,0.391357,0.380480,0.386936,0.403224,0.363744
669,0.420101,0.409402,0.421137,0.419663,0.428583,0.405333,0.420559,0.399016,0.413769,0.412692,0.419790,0.405991,0.421550,0.422679,0.399966
670,0.420033,0.417673,0.423589,0.420188,0.432697,0.402116,0.419040,0.404645,0.420842,0.411535,0.416181,0.399289,0.425982,0.422432,0.402938
671,0.429929,0.421773,0.413676,0.417169,0.425031,0.414309,0.408010,0.403847,0.431173,0.412091,0.424549,0.411135,0.420197,0.432776,0.408024
672,0.410935,0.395250,0.401883,0.397963,0.413657,0.392335,0.399272,0.375778,0.404729,0.401164,0.408270,0.397072,0.403803,0.404220,0.391249
673,0.375560,0.389599,0.383195,0.417764,0.389631,0.387663,0.403576,0.363321,0.387370,0.381846,0.385474,0.370754,0.381587,0.396304,0.363088
674,0.424587,0.416113,0.414914,0.416840,0.415120,0.400301,0.416304,0.395110,0.420541,0.413402,0.414474,0.393805,0.418323,0.424606,0.390523
675,0.407726,0.404850,0.396635,0.408347,0.415124,0.387982,0.402771,0.390783,0.407609,0.394204,0.400219,0.390505,0.398841,0.412431,0.384138
676,0.403719,0.387240,0.400355,0.406327,0.402922,0.379935,0.395317,0.395311,0.398506,0.392749,0.396894,0.382481,0.403473,0.412909,0.379348
677,0.425119,0.428735,0.423778,0.427543,0.432200,0.420097,0.421581,0.405756,0.433740,0.415857,0.421216,0.409680,0.435399,0.428136,0.403639
678,0.378972,0.389834,0.376029,0.402195,0.382231,0.371756,0.394958,0.360499,0.396286,0.380637,0.380626,0.367957,0.376834,0.392617,0.357590
679,0.400600,0.406083,0.412048,0.409200,0.414337,0.410441,0.400224,0.387153,0.414476,0.398761,0.407454,0.400235,0.414111,0.411753,0.395491
684,0.399676,0.405639,0.399740,0.413193,0.412172,0.390794,0.401979,0.382093,0.401877,0.390242,0.406018,0.396547,0.402913,0.409717,0.391132
685,0.399231,0.391660,0.400787,0.401164,0.396945,0.384864,0.397167,0.378978,0.395646,0.391777,0.402919,0.391238,0.400692,0.404980,0.387452
686,0.387967,0.385721,0.383625,0.402433,0.397616,0.393274,0.390178,0.374674,0.389116,0.385171,0.388590,0.374816,0.382040,0.392268,0.376784
687,0.409380,0.411923,0.394406,0.412228,0.403990,0.388311,0.406528,0.364913,0.408102,0.394818,0.395026,0.390175,0.399132,0.408081,0.384327
688,0.399224,0.410291,0.396757,0.403108,0.411652,0.377837,0.411709,0.372763,0.392981,0.394534,0.393194,0.394077,0.402835,0.416522,0.382233
689,0.403351,0.387960,0.406790,0.405190,0.407371,0.395221,0.397257,0.379830,0.405254,0.401498,0.408504,0.384560,0.412311,0.416360,0.377130
690,0.380085,0.367866,0.386895,0.378164,0.384031,0.363898,0.374575,0.361215,0.377759,0.380966,0.390856,0.360140,0.384351,0.393358,0.356448
691,0.396181,0.382640,0.405313,0.391005,0.404008,0.379608,0.395418,0.382785,0.393737,0.404889,0.410342,0.395605,0.395857,0.411366,0.389552
680,0.413553,0.412381,0.402496,0.419786,0.411013,0.400630,0.415166,0.378729,0.407228,0.398560,0.399376,0.392399,0.406909,0.418831,0.383890
681,0.422150,0.411259,0.420029,0.416915,0.425346,0.410608,0.417069,0.396002,0.419842,0.413170,0.414787,0.403745,0.418238,0.427307,0.405244
682,0.395042,0.396531,0.404367,0.402220,0.408555,0.377298,0.404119,0.376067,0.390935,0.392257,0.403820,0.380753,0.396044,0.399119,0.375915
683,0.420052,0.407363,0.414314,0.414624,0.425890,0.398632,0.414928,0.386872,0.409784,0.403019,0.422761,0.406692,0.418002,0.423525,0.400459
692,0.390910,0.391225,0.390214,0.403944,0.405415,0.384170,0.399612,0.375236,0.392874,0.391577,0.404913,0.378636,0.391875,0.403490,0.385839
693,0.418284,0.391098,0.399581,0.426244,0.412044,0.393267,0.419587,0.385334,0.414788,0.413657,0.411541,0.392485,0.415395,0.421974,0.388445
694,0.417618,0.415557,0.423110,0.419350,0.428612,0.410980,0.417439,0.410985,0.422801,0.416719,0.424996,0.395953,0.427978,0.434658,0.398824
695,0.416126,0.417071,0.409635,0.431305,0.417926,0.411110,0.423789,0.386061,0.413179,0.398702,0.418877,0.402675,0.411626,0.420778,0.401067
696,0.402591,0.391150,0.394506,0.419553,0.407753,0.391867,0.409204,0.383129,0.392314,0.389172,0.393179,0.381246,0.392088,0.405760,0.389048
697,0.393007,0.406169,0.399107,0.412366,0.410869,0.387960,0.408216,0.375387,0.411017,0.398868,0.404323,0.384385,0.405365,0.401786,0.382315
