replicate,C0-R@42,C0-R@1337,C0-R@20260703,C1-M@42,C1-M@1337,C1-M@20260703,C4-M@42,C4-M@1337,C4-M@20260703,C4MixFT-M@42,C4MixFT-M@1337,C4Mix-M@42,C4Mix-M@1337,C4R-M@42,C4R-M@1337
390,0.399443,0.398752,0.382707,0.404734,0.397027,0.379469,0.392551,0.356900,0.382480,0.390099,0.381928,0.379055,0.394180,0.406030,0.370924
391,0.407388,0.410930,0.403121,0.427612,0.417912,0.399570,0.416265,0.382380,0.408953,0.396610,0.400392,0.387381,0.413063,0.410725,0.381589
384,0.385844,0.371765,0.370793,0.388220,0.381181,0.368388,0.377316,0.340054,0.372303,0.382056,0.381222,0.370439,0.389771,0.385066,0.365543
385,0.426069,0.421614,0.428529,0.412849,0.427986,0.411306,0.424553,0.407430,0.422617,0.420537,0.425196,0.410067,0.437094,0.429129,0.407669
386,0.420108,0.410636,0.425195,0.423794,0.424259,0.402416,0.427421,0.382599,0.414882,0.420558,0.412138,0.398234,0.424391,0.424460,0.394032
387,0.439976,0.432708,0.438970,0.439277,0.442210,0.433690,0.435363,0.427287,0.431326,0.431849,0.445531,0.418284,0.445793,0.443706,0.413998
392,0.397971,0.402781,0.408301,0.407806,0.402275,0.394931,0.405409,0.388786,0.395131,0.401324,0.404570,0.389245,0.405726,0.403579,0.377459
393,0.425539,0.412169,0.415498,0.417262,0.424093,0.415172,0.414845,0.390822,0.409972,0.417227,0.416507,0.397448,0.433252,0.431677,0.406096
394,0.419553,0.414990,0.421085,0.425624,0.427195,0.420847,0.424448,0.405081,0.430292,0.419172,0.432740,0.412842,0.428975,0.440623,0.416932
395,0.392192,0.382410,0.397133,0.389918,0.402230,0.384992,0.394581,0.374694,0.385323,0.387552,0.400720,0.377442,0.389605,0.402451,0.376010
396,0.419664,0.420324,0.420109,0.422077,0.432918,0.409813,0.419496,0.383342,0.427998,0.419983,0.421132,0.403662,0.433406,0.431523,0.408476
397,0.389752,0.382128,0.393828,0.388997,0.402901,0.367258,0.386809,0.365516,0.378331,0.389700,0.387734,0.373320,0.391895,0.400024,0.367862
398,0.417593,0.416685,0.421767,0.428534,0.427130,0.401874,0.407833,0.403475,0.419007,0.417674,0.419028,0.398923,0.419328,0.430599,0.386784
399,0.407208,0.394998,0.406295,0.397632,0.416852,0.391410,0.391688,0.376007,0.393360,0.410800,0.401213,0.385563,0.407098,0.415545,0.378744
404,0.394988,0.397886,0.393497,0.393619,0.397751,0.381805,0.404449,0.365724,0.389682,0.405080,0.403038,0.382476,0.391702,0.400798,0.379501
405,0.385396,0.378786,0.379442,0.396631,0.389151,0.374967,0.394790,0.386700,0.392331,0.390330,0.390021,0.379752,0.392107,0.400269,0.372532
406,0.392321,0.386809,0.392892,0.387091,0.395255,0.378090,0.391719,0.367700,0.389782,0.387992,0.386176,0.369843,0.390869,0.394598,0.366417
407,0.418397,0.405771,0.404777,0.417545,0.417080,0.399504,0.419086,0.389883,0.411114,0.407724,0.421712,0.400386,0.408482,0.425883,0.389147
400,0.407228,0.391656,0.407710,0.414802,0.414538,0.389981,0.397217,0.384361,0.404704,0.404763,0.417438,0.387011,0.407114,0.416980,0.372507
401,0.394494,0.385834,0.387939,0.398696,0.395477,0.387781,0.396099,0.371793,0.391979,0.393760,0.402020,0.382507,0.398974,0.406292,0.375264
402,0.394478,0.396327,0.392655,0.410131,0.405798,0.378065,0.399612,0.378979,0.409861,0.392794,0.393033,0.384785,0.399994,0.398978,0.375072
403,0.415325,0.425826,0.421603,0.435652,0.421165,0.411089,0.417075,0.402713,0.424273,0.421102,0.425511,0.403586,0.422370,0.430116,0.394075
408,0.403787,0.396174,0.400926,0.405384,0.414113,0.379235,0.407271,0.374966,0.394184,0.394953,0.412355,0.376967,0.404858,0.410420,0.383338
409,0.402259,0.409449,0.409706,0.403042,0.409242,0.397718,0.401032,0.383932,0.400444,0.395382,0.402071,0.386464,0.397442,0.401954,0.391814
410,0.390729,0.403727,0.400704,0.404560,0.408083,0.386140,0.394177,0.372638,0.392071,0.386975,0.397192,0.383895,0.390837,0.399502,0.387228
411,0.399415,0.400796,0.398950,0.405671,0.415744,0.386525,0.402070,0.374252,0.400411,0.401298,0.409531,0.396587,0.412511,0.423865,0.402920
412,0.394304,0.405759,0.402980,0.415741,0.403419,0.387767,0.405483,0.381108,0.400938,0.396625,0.398866,0.388015,0.394834,0.402775,0.388996
413,0.402306,0.393965,0.399166,0.410064,0.414500,0.392500,0.401391,0.381128,0.407783,0.398771,0.401721,0.382046,0.407831,0.405226,0.365418
414,0.413270,0.413137,0.409319,0.424600,0.415001,0.408133,0.411239,0.388992,0.420285,0.415754,0.409008,0.389164,0.420468,0.421949,0.391565
415,0.396782,0.403646,0.400705,0.405400,0.405830,0.391152,0.397099,0.374676,0.395316,0.397420,0.405692,0.388506,0.404083,0.414971,0.384751
416,0.395957,0.406564,0.398027,0.408365,0.397681,0.395952,0.400913,0.377763,0.394189,0.386334,0.403527,0.376368,0.398217,0.400926,0.381697
417,0.404446,0.405566,0.412487,0.401342,0.409580,0.392158,0.401598,0.388568,0.402998,0.395847,0.400997,0.389224,0.403385,0.410821,0.381875
418,0.408316,0.395449,0.416202,0.421250,0.416858,0.408527,0.411766,0.392855,0.408632,0.406692,0.413139,0.392448,0.432163,0.428054,0.391223
419,0.414478,0.406196,0.407701,0.404572,0.414663,0.387765,0.397450,0.386644,0.403873,0.399506,0.403237,0.390940,0.405934,0.404357,0.381827
420,0.394713,0.376457,0.391259,0.391738,0.397333,0.385848,0.394594,0.366201,0.381763,0.386768,0.394312,0.374634,0.382441,0.401805,0.375542
421,0.404954,0.397801,0.406630,0.407305,0.415466,0.384221,0.397873,0.376349,0.400716,0.403711,0.407578,0.380119,0.399863,0.404486,0.388040
422,0.419822,0.418762,0.416425,0.414600,0.423904,0.399900,0.420651,0.398664,0.418572,0.402298,0.414483,0.414986,0.414758,0.419498,0.401020
423,0.403988,0.393565,0.416242,0.420548,0.425028,0.396739,0.417579,0.385050,0.412035,0.405749,0.408040,0.393520,0.402135,0.413957,0.376759
424,0.405469,0.419423,0.406587,0.425020,0.415848,0.402870,0.407848,0.387491,0.426521,0.397695,0.405761,0.400962,0.414781,0.417104,0.385306
425,0.384958,0.379408,0.378983,0.395519,0.388847,0.372593,0.391571,0.363576,0.382048,0.377153,0.397103,0.373957,0.390880,0.399048,0.371937
426,0.411406,0.425882,0.425177,0.429424,0.426477,0.417180,0.419679,0.397578,0.408122,0.412062,0.412147,0.413601,0.421759,0.428350,0.403958
427,0.403258,0.380519,0.396977,0.390996,0.404049,0.382984,0.394609,0.382980,0.380168,0.390972,0.406793,0.375843,0.401293,0.404816,0.377412
436,0.409841,0.408542,0.403824,0.430508,0.415730,0.410992,0.415310,0.394537,0.415028,0.404239,0.402247,0.395081,0.413176,0.420953,0.401678
437,0.387404,0.384924,0.385482,0.406537,0.400798,0.380293,0.393251,0.365243,0.375867,0.381023,0.386625,0.366570,0.391204,0.395818,0.374318
438,0.396796,0.410786,0.398039,0.403300,0.409891,0.397513,0.388725,0.375432,0.401466,0.384760,0.383697,0.376864,0.405909,0.403881,0.375322
439,0.410124,0.411407,0.411313,0.423007,0.410828,0.397254,0.417708,0.390124,0.424141,0.411951,0.415594,0.404701,0.424493,0.426139,0.390757
432,0.418385,0.399271,0.417527,0.417583,0.429348,0.397930,0.422272,0.399006,0.402360,0.414606,0.416365,0.407070,0.407007,0.427170,0.402229
433,0.424425,0.414347,0.414482,0.414999,0.416702,0.406991,0.414565,0.391076,0.415312,0.408683,0.415633,0.392112,0.415409,0.434388,0.390057
434,0.379238,0.372942,0.381402,0.378384,0.383336,0.366606,0.359709,0.355865,0.373934,0.372778,0.377028,0.360815,0.370424,0.377174,0.343135
435,0.404341,0.408811,0.402048,0.412875,0.404209,0.399088,0.403903,0.380025,0.409820,0.390995,0.392637,0.389454,0.394575,0.407250,0.388253
428,0.405102,0.401245,0.406244,0.399441,0.403477,0.398784,0.393723,0.375575,0.399998,0.393184,0.405041,0.382352,0.416093,0.407693,0.389081
429,0.418895,0.407223,0.413296,0.412384,0.415245,0.397233,0.408805,0.384401,0.413429,0.406445,0.414849,0.388452,0.409966,0.421833,0.390631
430,0.412580,0.399436,0.410025,0.417667,0.406819,0.401084,0.407653,0.380402,0.405041,0.403229,0.413638,0.381842,0.408141,0.411171,0.395974
431,0.398969,0.383861,0.399798,0.403253,0.398127,0.392813,0.401782,0.377275,0.406695,0.399916,0.391099,0.385738,0.407000,0.411273,0.382029
440,0.402580,0.402439,0.411579,0.421061,0.424484,0.401112,0.415147,0.388506,0.407338,0.409801,0.416773,0.401351,0.405160,0.423027,0.389109
441,0.418920,0.411360,0.414450,0.429528,0.418348,0.408198,0.421804,0.392499,0.417529,0.425213,0.417449,0.401811,0.424789,0.423820,0.395857
442,0.411390,0.400009,0.420777,0.420926,0.418054,0.408847,0.407175,0.394084,0.411247,0.422354,0.424477,0.393431,0.416645,0.428079,0.403110
443,0.402866,0.397279,0.393695,0.404696,0.400222,0.387886,0.400028,0.380502,0.391361,0.390787,0.408736,0.386322,0.396937,0.407089,0.385966
444,0.390602,0.370321,0.391235,0.388009,0.391785,0.375314,0.382190,0.355827,0.387215,0.389718,0.388619,0.367037,0.397779,0.403894,0.361394
445,0.392646,0.391375,0.385616,0.403328,0.392840,0.377579,0.395901,0.359867,0.390409,0.388438,0.392707,0.379207,0.392921,0.398682,0.363481
446,0.404260,0.402589,0.403062,0.412099,0.413755,0.393133,0.406816,0.393074,0.401214,0.399886,0.406511,0.386694,0.397925,0.409991,0.382914
